Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
15-04-2025,1229.4823,1240.288999,1226.507986,1240.288999,13378535,0.017351066,1222.763582,0.016627909
16-04-2025,1228.689209,1230.275486,1218.477349,1223.533659,8248464,-0.000645061,1223.82773,0.01662858
17-04-2025,1263.587769,1269.238917,1217.089301,1229.581396,15398401,0.028403081,1226.286499,0.017304266
21-04-2025,1284.407837,1289.761626,1256.151856,1259.12617,10429964,0.016476947,1230.392704,0.016762222
22-04-2025,1280.144775,1292.736111,1275.286826,1288.869479,13051707,-0.003319087,1234.665804,0.016673423
23-04-2025,1288.869385,1294.818013,1274.394414,1285.895071,10480888,0.00681533,1238.776965,0.01661437
24-04-2025,1290.455688,1293.330883,1279.252512,1281.334507,10468940,0.001230772,1241.817375,0.015907033
25-04-2025,1289.265991,1313.853581,1277.071255,1292.339425,14431012,-0.00092192,1243.4896,0.014821834
28-04-2025,1357.080444,1362.830712,1308.896459,1328.52698,31104496,0.052599272,1247.799056,0.017371053
29-04-2025,1387.715698,1398.819876,1358.270039,1359.261477,32538970,0.022574383,1252.835559,0.017707953
30-04-2025,1392.970337,1400.307002,1357.27857,1389.996023,25480745,0.003786538,1257.725,0.017693285
02-05-2025,1407.643677,1414.484502,1397.035218,1401.893288,13007841,0.010533849,1263.405937,0.017605038
05-05-2025,1419.045288,1427.175031,1414.682937,1418.747808,12685649,0.008099785,1269.76602,0.017475494
06-05-2025,1408.734253,1419.73919,1398.522393,1418.747752,14084117,-0.007266178,1275.782402,0.017596711
07-05-2025,1393.961792,1412.204275,1390.689998,1408.734242,13440169,-0.010486336,1281.032064,0.017808831
08-05-2025,1394.953247,1408.63514,1386.030305,1392.078053,16106175,0.00071125,1285.58772,0.017634206
09-05-2025,1365.408325,1382.85773,1362.731491,1373.637309,13668904,-0.021179865,1288.920605,0.018197472
12-05-2025,1424.200562,1426.679156,1388.013078,1388.013078,10674081,0.043058355,1293.362248,0.019395512
13-05-2025,1403.578613,1435.304627,1400.306941,1421.226257,11407896,-0.014479666,1297.666736,0.019446801
14-05-2025,1412.204346,1417.657255,1403.380523,1407.841994,5570160,0.006145529,1302.668542,0.019294509
15-05-2025,1441.749146,1448.887572,1400.604467,1412.799203,20177211,0.020921051,1308.484981,0.019542395
16-05-2025,1443.930298,1448.490888,1434.908236,1440.757624,9036695,0.001512851,1314.476575,0.019507519
